ID,volume_LH_bankssts,volume_LH_caudalanteriorcingulate,volume_LH_caudalmiddlefrontal,volume_LH_cuneus,volume_LH_entorhinal,volume_LH_fusiform,volume_LH_inferiorparietal,volume_LH_inferiortemporal,volume_LH_isthmuscingulate,volume_LH_lateraloccipital,volume_LH_lateralorbitofrontal,volume_LH_lingual,volume_LH_medialorbitofrontal,volume_LH_middletemporal,volume_LH_parahippocampal,volume_LH_paracentral,volume_LH_parsopercularis,volume_LH_parsorbitalis,volume_LH_parstriangularis,volume_LH_pericalcarine,volume_LH_postcentral,volume_LH_posteriorcingulate,volume_LH_precentral,volume_LH_precuneus,volume_LH_rostralanteriorcingulate,volume_LH_rostralmiddlefrontal,volume_LH_superiorfrontal,volume_LH_superiorparietal,volume_LH_superiortemporal,volume_LH_supramarginal,volume_LH_frontalpole,volume_LH_transversetemporal,volume_LH_insula,volume_RH_bankssts,volume_RH_caudalanteriorcingulate,volume_RH_caudalmiddlefrontal,volume_RH_cuneus,volume_RH_entorhinal,volume_RH_fusiform,volume_RH_inferiorparietal,volume_RH_inferiortemporal,volume_RH_isthmuscingulate,volume_RH_lateraloccipital,volume_RH_lateralorbitofrontal,volume_RH_lingual,volume_RH_medialorbitofrontal,volume_RH_middletemporal,volume_RH_parahippocampal,volume_RH_paracentral,volume_RH_parsopercularis,volume_RH_parsorbitalis,volume_RH_parstriangularis,volume_RH_pericalcarine,volume_RH_postcentral,volume_RH_posteriorcingulate,volume_RH_precentral,volume_RH_precuneus,volume_RH_rostralanteriorcingulate,volume_RH_rostralmiddlefrontal,volume_RH_superiorfrontal,volume_RH_superiorparietal,volume_RH_superiortemporal,volume_RH_supramarginal,volume_RH_frontalpole,volume_RH_transversetemporal,volume_RH_insula,areas_LH_bankssts,areas_LH_caudalanteriorcingulate,areas_LH_caudalmiddlefrontal,areas_LH_cuneus,areas_LH_entorhinal,areas_LH_fusiform,areas_LH_inferiorparietal,areas_LH_inferiortemporal,areas_LH_isthmuscingulate,areas_LH_lateraloccipital,areas_LH_lateralorbitofrontal,areas_LH_lingual,areas_LH_medialorbitofrontal,areas_LH_middletemporal,areas_LH_parahippocampal,areas_LH_paracentral,areas_LH_parsopercularis,areas_LH_parsorbitalis,areas_LH_parstriangularis,areas_LH_pericalcarine,areas_LH_postcentral,areas_LH_posteriorcingulate,areas_LH_precentral,areas_LH_precuneus,areas_LH_rostralanteriorcingulate,areas_LH_rostralmiddlefrontal,areas_LH_superiorfrontal,areas_LH_superiorparietal,areas_LH_superiortemporal,areas_LH_supramarginal,areas_LH_frontalpole,areas_LH_transversetemporal,areas_LH_insula,areas_RH_bankssts,areas_RH_caudalanteriorcingulate,areas_RH_caudalmiddlefrontal,areas_RH_cuneus,areas_RH_entorhinal,areas_RH_fusiform,areas_RH_inferiorparietal,areas_RH_inferiortemporal,areas_RH_isthmuscingulate,areas_RH_lateraloccipital,areas_RH_lateralorbitofrontal,areas_RH_lingual,areas_RH_medialorbitofrontal,areas_RH_middletemporal,areas_RH_parahippocampal,areas_RH_paracentral,areas_RH_parsopercularis,areas_RH_parsorbitalis,areas_RH_parstriangularis,areas_RH_pericalcarine,areas_RH_postcentral,areas_RH_posteriorcingulate,areas_RH_precentral,areas_RH_precuneus,areas_RH_rostralanteriorcingulate,areas_RH_rostralmiddlefrontal,areas_RH_superiorfrontal,areas_RH_superiorparietal,areas_RH_superiortemporal,areas_RH_supramarginal,areas_RH_frontalpole,areas_RH_transversetemporal,areas_RH_insula,thick_LH_bankssts,thick_LH_caudalanteriorcingulate,thick_LH_caudalmiddlefrontal,thick_LH_cuneus,thick_LH_entorhinal,thick_LH_fusiform,thick_LH_inferiorparietal,thick_LH_inferiortemporal,thick_LH_isthmuscingulate,thick_LH_lateraloccipital,thick_LH_lateralorbitofrontal,thick_LH_lingual,thick_LH_medialorbitofrontal,thick_LH_middletemporal,thick_LH_parahippocampal,thick_LH_paracentral,thick_LH_parsopercularis,thick_LH_parsorbitalis,thick_LH_parstriangularis,thick_LH_pericalcarine,thick_LH_postcentral,thick_LH_posteriorcingulate,thick_LH_precentral,thick_LH_precuneus,thick_LH_rostralanteriorcingulate,thick_LH_rostralmiddlefrontal,thick_LH_superiorfrontal,thick_LH_superiorparietal,thick_LH_superiortemporal,thick_LH_supramarginal,thick_LH_frontalpole,thick_LH_transversetemporal,thick_LH_insula,thick_RH_bankssts,thick_RH_caudalanteriorcingulate,thick_RH_caudalmiddlefrontal,thick_RH_cuneus,thick_RH_entorhinal,thick_RH_fusiform,thick_RH_inferiorparietal,thick_RH_inferiortemporal,thick_RH_isthmuscingulate,thick_RH_lateraloccipital,thick_RH_lateralorbitofrontal,thick_RH_lingual,thick_RH_medialorbitofrontal,thick_RH_middletemporal,thick_RH_parahippocampal,thick_RH_paracentral,thick_RH_parsopercularis,thick_RH_parsorbitalis,thick_RH_parstriangularis,thick_RH_pericalcarine,thick_RH_postcentral,thick_RH_posteriorcingulate,thick_RH_precentral,thick_RH_precuneus,thick_RH_rostralanteriorcingulate,thick_RH_rostralmiddlefrontal,thick_RH_superiorfrontal,thick_RH_superiorparietal,thick_RH_superiortemporal,thick_RH_supramarginal,thick_RH_frontalpole,thick_RH_transversetemporal,thick_RH_insula,volume_Left-Cerebellum-Cortex,volume_Left-Thalamus,volume_Left-Caudate,volume_Left-Putamen,volume_Left-Pallidum,volume_Left-Hippocampus,volume_Left-Amygdala,volume_Left-Accumbens-area,volume_Right-Cerebellum-Cortex,volume_Right-Thalamus,volume_Right-Caudate,volume_Right-Putamen,volume_Right-Pallidum,volume_Right-Hippocampus,volume_Right-Amygdala,volume_Right-Accumbens-area
demo_1,2410,1577,6600,2285,1428,8111,10042,8859,3088,9669,7385,6444,4928,9922,2174,3588,5097,2510,3621,1567,8328,3073,14036,9485,2211,12849,21289,14648,12451,13400,1187,1551,6373,1638,2310,5224,3527,2132,7247,12158,10044,2424,11761,6812,6988,5320,10956,2426,3847,3154,2947,4348,1910,8738,3626,12287,9691,2087,15449,20450,12067,10895,10345,1196,757,6270,816,499,2176,1237,287,2633,3716,2890,1190,3910,2479,3001,1858,2897,697,1227,1705,668,1270,1105,3694,1114,4776,3896,613,4648,6412,5937,3959,4564,314,590,2193,661,842,1808,1583,411,2522,4473,3019,956,4985,2351,3259,1647,3225,716,1463,1032,784,1389,1403,3973,1240,4423,3816,593,5480,6272,5011,3197,3618,301,301,1967,2.622,2.661,2.743,1.785,3.348,2.766,2.527,2.619,2.296,2.22,2.732,2.034,2.375,2.829,2.608,2.662,2.685,2.794,2.5,1.606,2.035,2.563,2.676,2.299,2.967,2.396,2.853,2.27,2.799,2.635,2.768,2.392,3.016,2.526,2.622,2.651,2.053,3.282,2.737,2.442,2.731,2.25,2.184,2.703,2.053,2.737,2.857,2.764,2.481,2.754,2.805,2.639,1.531,1.983,2.56,2.564,2.497,2.88,2.431,2.826,2.178,2.898,2.535,2.767,2.359,3.148,45901.6,6961.1,4190.8,5117.8,1991.9,3801.2,1436.8,442.9,48084.8,6905.6,3948.9,5274.7,1764.7,3950.6,1462.3,486.8
demo_2,2614,3150,6965,2582,1620,8726,14618,12585,3773,13973,8247,6612,5096,13074,1872,4847,5544,2336,4282,1434,10592,5031,15183,11922,3390,14732,25016,17359,11558,10781,1202,1132,8088,2541,1852,7851,3361,1479,10774,19719,12396,3689,12884,8156,5812,5570,14071,1875,4849,4725,2950,6201,1739,9914,3540,15576,13748,1768,15842,26416,15311,12291,10261,1324,969,7923,919,1101,2671,1481,381,3295,5588,4051,1392,5630,3068,3284,2020,3994,783,1819,1937,688,1644,1281,4815,1971,5294,4721,1069,5872,8326,7209,4067,4084,316,482,2784,1109,695,2711,1555,359,3727,7401,3982,1310,5142,2902,2835,2090,4280,791,1764,1738,907,2170,1378,4493,1402,5465,5352,571,6290,8539,6543,4211,3554,330,359,2710,2.492,2.567,2.435,1.673,2.901,2.528,2.385,2.583,2.323,2.217,2.471,1.915,2.303,2.656,2.173,2.491,2.53,2.532,2.304,1.302,1.969,2.356,2.668,2.328,2.844,2.264,2.723,2.21,2.622,2.42,2.722,2.108,2.831,2.395,2.314,2.598,1.949,2.966,2.651,2.398,2.694,2.397,2.24,2.565,1.864,2.394,2.776,2.251,2.569,2.493,2.593,2.475,1.42,2,2.346,2.649,2.367,2.53,2.264,2.733,2.18,2.682,2.642,2.892,2.386,2.924,54608.6,7372.8,3960.9,5565.3,2272.8,4043.2,1970.1,527,55690.4,7614.9,3732.1,5709.5,2225.1,4115.4,1890.8,684.3
demo_3,2532,1424,6612,3208,1560,9359,11996,10134,2856,11047,8043,6283,4792,12347,1825,3881,4534,2342,3261,2067,11066,3636,12463,10464,2802,13703,22143,13776,11233,12162,1164,1259,7154,2090,1852,5358,3085,1729,9158,15035,11407,3308,10505,7763,7225,6389,12361,1954,3595,4162,2877,5323,2407,8434,2948,12002,11281,1767,13371,20440,13564,11991,10140,1271,822,7140,1076,559,2210,1326,327,2954,4280,3128,1139,4454,2616,2739,1829,3311,653,1288,1451,619,1219,1211,4477,1310,4266,3948,886,5197,6758,5612,3529,4140,297,470,2382,802,673,1713,1312,347,2916,5539,3405,1158,4193,2670,3079,2193,3587,631,1225,1415,766,1781,1274,3461,1101,4096,4171,529,4899,6312,5377,3542,3453,319,322,2188,2.489,2.314,2.702,2.15,3.509,2.826,2.548,2.803,2.177,2.251,2.819,2.211,2.421,3.006,2.368,2.658,2.702,2.753,2.366,1.804,2.166,2.486,2.673,2.428,2.713,2.316,2.836,2.258,2.812,2.632,2.814,2.639,2.997,2.828,2.309,2.763,2.108,3.578,2.788,2.514,2.87,2.3,2.293,2.69,2.202,2.475,2.939,2.61,2.7,2.663,2.851,2.577,1.974,2.193,2.425,2.72,2.51,2.813,2.351,2.799,2.282,2.895,2.573,2.776,2.497,3.154,49675.1,7334.8,4537.7,5474.2,2096.4,4300.7,1784.2,550.7,49299.7,7267.7,4478.9,5680.6,1932.2,4370,1888.3,579.9
demo_4,2592,1627,6451,3387,1614,8616,12733,10059,2450,10553,7517,6014,4579,10981,2248,3972,4594,2266,4222,2655,10445,3275,14868,11092,2499,16922,23744,15455,11892,10454,1052,1525,7300,1420,1686,5632,4148,1641,8391,12503,11087,2579,11108,7354,6215,5592,12056,1831,4046,4371,2791,4647,2811,11476,3075,15056,11369,1658,18163,22025,13543,11330,10869,1313,1058,6685,1022,541,2116,1696,377,2804,4933,3284,987,4841,2599,2949,1754,3518,742,1457,1576,683,1553,1592,4474,1218,5122,4545,850,6511,7293,6503,4151,4016,291,519,2558,620,576,1838,1809,315,2910,4787,3695,972,4860,2539,3121,2136,3715,583,1417,1435,844,1581,1694,4698,1196,5195,4638,460,6615,6997,5596,3901,4224,353,418,2205,2.442,2.715,2.722,1.866,3.364,2.698,2.421,2.665,2.213,2.088,2.639,1.922,2.302,2.681,2.613,2.559,2.546,2.628,2.428,1.773,2.099,2.418,2.671,2.317,2.64,2.323,2.818,2.18,2.646,2.416,2.614,2.505,2.863,2.387,2.654,2.711,2.053,3.76,2.6,2.398,2.685,2.256,2.151,2.646,1.879,2.307,2.707,2.582,2.646,2.689,2.592,2.54,1.759,2.19,2.342,2.7,2.297,2.896,2.382,2.771,2.232,2.645,2.388,2.764,2.125,2.997,51951.2,8167.1,3644.1,5746,1923.1,4220,1534.6,477.3,51578.6,7811.5,3634.7,5962.5,2013.4,4539,1750.1,531.2
demo_5,1789,1162,5628,3155,2432,9672,9479,9227,2563,10244,6733,5968,4543,10216,1867,3857,4941,2109,3828,2049,8415,2856,15205,8202,1937,13232,24319,12410,11569,11735,903,1376,6543,1766,2220,6525,3262,2075,9535,13078,11309,2288,10734,6277,6523,4842,10765,1722,4098,3401,2858,4111,2273,8279,3105,13547,8976,2214,15138,21302,10364,11224,9301,1059,842,7259,748,494,2151,1711,488,3264,3673,3020,1061,4536,2724,2913,1875,3174,645,1410,1864,762,1509,1310,3823,1174,5271,3599,692,5254,7987,5199,3901,4467,262,549,2279,758,771,2442,1693,377,3015,5182,3660,926,4679,2401,3155,2036,3295,562,1457,1239,894,1584,1565,3838,1202,4754,3737,741,6050,7316,4563,3831,3554,336,375,2572,2.403,2.313,2.439,1.79,3.438,2.599,2.383,2.638,2.189,2.09,2.33,1.984,2.25,2.699,2.498,2.549,2.401,2.254,2.267,1.72,1.986,2.266,2.673,2.236,2.646,2.236,2.634,2.223,2.699,2.391,2.516,2.205,2.83,2.346,2.437,2.431,1.815,3.533,2.762,2.342,2.732,2.223,2.13,2.416,1.993,2.205,2.767,2.55,2.604,2.516,2.479,2.299,1.613,2.015,2.343,2.638,2.282,2.591,2.194,2.625,2.133,2.639,2.352,2.321,2.138,2.902,56167.9,7087.8,3313.3,4475.2,1905.6,4106.5,1725.4,489.1,55601.1,6890.1,3409.8,4746.1,1724.9,4007.2,1711.5,456.9
demo_6,1791,1573,5760,3500,1674,9055,11542,9893,2137,11959,6900,6003,4146,10306,1660,4680,3803,2283,3149,2383,9442,2804,13550,11082,2276,15410,22374,11568,10913,11845,929,1256,6702,1573,1762,4530,3292,2031,8895,13749,10529,2544,13227,6778,6406,5762,12498,1471,3901,3536,2618,4236,2506,9749,2847,14488,11524,1602,14660,19372,13829,10088,8214,1140,828,6078,748,577,2039,1989,368,3023,4574,3477,806,5620,2627,3239,1745,3057,651,1798,1322,733,1292,1744,4340,1110,4968,4793,770,6040,6757,5151,3648,4298,267,510,2583,701,714,1709,1615,387,3012,5378,3681,931,5665,2458,3448,2128,3875,629,1566,1224,749,1662,1889,4601,1144,5474,4834,562,5647,6185,3129,3420,3214,295,331,2163,2.559,2.322,2.628,1.721,3.182,2.621,2.324,2.574,2.535,1.965,2.502,1.839,2.246,2.786,2.193,2.379,2.585,2.568,2.245,1.517,1.992,2.472,2.537,2.206,2.71,2.233,2.91,2.088,2.671,2.479,2.611,2.203,2.684,2.312,2.194,2.459,1.897,3.508,2.632,2.34,2.626,2.423,2.081,2.591,1.857,2.39,2.74,2.151,2.402,2.659,2.624,2.337,1.49,1.944,2.342,2.455,2.283,2.424,2.272,2.781,2.071,2.65,2.39,2.63,2.227,2.84,43544.6,6619.7,2908,5011.5,2112.1,3699.1,1710.9,449.4,44478.4,6573.3,3033.4,5108.7,1829.7,3856.7,1569.1,479.6
demo_7,2158,964,5002,3022,2164,10476,12992,11688,2980,12096,8429,7077,6675,11138,2276,3273,4655,2999,4066,1830,11390,2744,14056,9921,2067,13931,22069,14476,12828,10920,1076,1286,7479,2622,1175,5200,3289,1751,11429,14421,11972,2383,12758,8163,6460,6635,12991,2091,4127,3558,3227,4145,2216,9477,3205,12627,9827,1247,16625,23743,12827,11249,10774,1040,926,7532,943,443,2009,1554,430,3653,4941,3889,1308,5137,3162,3434,2526,3549,831,1424,1857,910,1539,1413,5270,1096,5610,4222,761,5712,7586,6373,4377,4469,265,550,2729,1049,504,2171,1828,411,3817,5715,4045,1037,5474,3026,3307,2565,4072,774,1729,1237,1006,1507,1546,4288,1287,5003,4246,519,6435,8203,5923,3806,4039,373,369,2815,2.421,2.006,2.34,1.85,3.581,2.593,2.4,2.543,2.138,2.168,2.519,1.961,2.344,2.601,2.326,2.17,2.307,2.489,2.278,1.461,1.945,2.338,2.331,2.327,2.423,2.143,2.597,2.063,2.62,2.291,2.83,2.107,2.719,2.605,2.176,2.28,1.74,3.235,2.678,2.314,2.573,2.144,2.17,2.507,1.921,2.226,2.713,2.358,2.312,2.664,2.595,2.466,1.622,2.005,2.412,2.378,2.218,2.355,2.246,2.517,2.016,2.661,2.477,2.238,2.293,2.689,51769.5,7885.9,4263.2,6317.3,2312.7,4245.4,2087.5,693.4,51293.7,8047.1,4316.5,6388.8,2057.2,4219.6,1991.2,750.5
demo_8,1870,802,3513,2156,1730,6805,11333,9006,2207,8902,6157,5189,4301,9173,1942,3501,3176,1807,2792,1331,7862,2598,11794,8792,1542,11204,20089,11526,10001,7582,832,628,5335,1943,1574,3551,2742,1488,7499,12380,8684,2141,8684,5666,5511,4249,10407,1622,3285,2775,1857,3287,1744,6987,2888,12972,9066,1534,12132,15684,11216,9662,7158,1088,591,5105,865,367,1508,1291,433,2440,4559,3142,1000,4457,2412,2827,1795,2813,609,1390,1214,595,1091,1083,3755,1072,4646,3751,577,4712,6919,5229,3402,2855,265,338,2023,783,629,1421,1449,302,2614,4988,3018,916,4135,2256,2756,1756,3223,585,1358,1134,620,1218,1196,3539,1159,5115,3772,480,4943,5309,5193,3303,2893,330,251,1947,2.39,2.24,2.323,1.645,3.031,2.555,2.303,2.541,1.951,1.872,2.41,1.763,2.259,2.669,2.648,2.325,2.415,2.417,2.267,1.387,1.895,2.242,2.374,2.227,2.529,2.18,2.652,2.056,2.571,2.47,2.46,1.856,2.678,2.623,2.093,2.429,1.787,3.5,2.598,2.3,2.535,2.04,1.973,2.353,1.877,2.342,2.747,2.428,2.312,2.351,2.428,2.371,1.573,1.822,2.241,2.391,2.264,2.648,2.23,2.669,2.031,2.586,2.326,2.592,2.186,2.649,43769.2,6853.4,3601.2,4968.3,1962.7,3061.2,1287,385.8,43047.2,6856.9,3762.7,4988.3,1810.5,3484.1,1596,429.9
demo_9,2417,2124,6523,2346,1598,8198,10516,9589,2499,10003,5693,6002,3927,10243,1864,3376,3447,1947,3261,1759,7982,2924,12683,9028,2769,12061,19477,13086,11714,9057,879,882,6272,2016,1773,5645,3050,1544,8852,12959,10149,2119,8645,6055,6334,4876,10295,2139,3155,3617,2283,4383,2163,7072,2942,11995,9438,1886,12618,17981,13835,10748,9719,992,777,5694,1014,729,2292,1328,309,2791,4194,3226,1076,4819,2174,3095,1498,3114,642,1220,1316,592,1168,1338,3811,1168,4869,3869,780,4640,6317,5974,3568,3395,241,418,2282,842,630,2035,1588,312,3040,5118,3197,907,4058,2360,3250,1888,3188,655,1230,1371,666,1428,1608,3512,1214,4891,3858,638,4526,5974,5996,3359,3636,236,305,1972,2.632,2.636,2.572,1.716,3.477,2.527,2.251,2.531,2.083,1.962,2.537,1.836,2.361,2.611,2.484,2.549,2.353,2.612,2.447,1.489,1.919,2.33,2.457,2.182,2.903,2.335,2.74,2.068,2.783,2.405,3.009,2.215,2.845,2.582,2.448,2.49,1.835,3.644,2.605,2.324,2.757,2.098,1.983,2.456,1.911,2.32,2.8,2.699,2.403,2.464,2.798,2.68,1.526,1.897,2.273,2.359,2.334,2.564,2.379,2.663,2.108,2.871,2.452,2.957,2.326,2.935,42029.7,7102.7,3242.8,4829.6,1896.6,3874.8,1684.7,516.8,43380.5,6948.3,3355.3,4955.2,1739.1,4051,1698.3,637.1
demo_10,2578,1696,6323,3352,2108,11086,14857,12603,3126,14828,8380,6365,5400,11325,2670,4325,6776,2781,4982,1914,10570,3462,14330,11140,2802,16774,23063,13164,15562,11727,995,1470,8078,2248,2147,6150,4097,2113,10409,18251,12439,2928,14706,8667,6365,5781,14132,2134,3468,4201,4059,5019,2400,10065,3447,12812,12458,1876,18608,24365,13037,14138,10813,1134,1021,7947,1062,650,2124,1666,448,3198,5012,3536,1193,5551,2833,2818,1860,3147,733,1546,2347,788,1813,1377,4354,1207,4964,4175,821,5923,6748,5221,4328,4005,288,515,2653,949,737,2096,1948,420,3164,6202,3541,1168,5620,2888,2887,2007,3766,670,1226,1348,980,1771,1666,4186,1305,4538,4780,646,6380,7355,5016,4098,3853,296,331,2600,2.569,2.433,2.725,1.98,3.63,2.902,2.688,2.921,2.335,2.374,2.74,2.149,2.635,2.972,3.05,2.542,2.665,2.825,2.429,1.603,2.162,2.561,2.657,2.493,3.044,2.432,3.009,2.285,2.968,2.594,2.537,2.469,2.874,2.58,2.496,2.637,1.964,3.785,2.844,2.611,2.881,2.236,2.375,2.687,2.067,2.537,3.109,2.733,2.705,2.838,3.078,2.533,1.549,2.162,2.407,2.641,2.402,2.673,2.489,2.907,2.367,2.993,2.62,2.732,2.74,2.965,55096,7549.3,3716.9,5426.7,2029.6,4396.5,1953.5,504.7,56227.1,7415.4,3931.7,5542,1813.8,4722.3,1884.1,597.1
